contrato,linea,actualLargo,nuevoCorto,colorOperativo
XG881,54,Teatro Colón-Santa Cruz-Sada hotel Sada Palace,B8,#FFDD00
XG881,55,Teatro Colón-Santa Cruz-Rialta-Mera-Lorbé,B9,#FFDD00
XG881,57,Teatro Colón-Concello de Sada,B13,#FFDD00
XG881,58,Teatro Colón-Carnoedo-Concello de Sada,B14,#FFDD00
XG881,61,A Silva-Teatro Colón,C1,#009846
XG881,62,Os Campons-Univers. Laboral-Teatro Colón,A1,#008DD2
XG881,63,Teatro Colón-Soñeiro,B4,#E31E23
XG881,64,Teatro Colón-Pousada 2,B5,#E31E23
XG881,65,Pousada 4 Residencia-Santa Cruz-Teatro Colón,B10,#FFDD00
XG881,66,Teatro Colón-Santa Cruz-Franzomel-Soñeiro,B11,#FFDD00
XG881,67,Sta. María de Vigo-Teatro Colón,A6,#009846
XG881,68,Tarrio-Teatro Colón,A9,#009846
XG881,69,A Patiña-Cambre-Teatro Colón,A2,#008DD2
XG881,70,Lema-Cambre-A Barcala-Teatro Colón,A3,#008DD2
XG881,71,Sta. María de Vigo-Hospital Abente y Lago,B16,#009846
XG881,72,Sada hotel Sada Palace-Hospital Abente y Lago,B7,#E31E23
XG881,73,A Patiña II-Cambre-Hospital Abente y Lago,B2,#008DD2
XG881,74,Carral Panteon-Teatro Colón,A7,#009846
XG881,75,Parque Acuático Cerceda-Teatro Colón,C2,#009846
XG881,76,Os Campons-A Patiña-Cambre-A Barcala-Univers. Laboral-Teatro Colón,A1,#008DD2
XG881,77,UDC-Aeroporto de A Coruña-Sada hotel Sada Palace (por Polígonos),D6,#2B2A29
XG881,78,Teatro Colón-Carral Panteón-Cañás,A10,#009846
XG881,79,Cañás-Carral Panteón-Teatro Colón,A10,#009846
XG881,80,Teatro Colón-Oleiros (Concello)-Polígono de Iñás-IES Miraflores,B20,#E31E23
XG881,81,Teatro Colón - Praias - Oleiros,EP,#E31E23
XG881,82,Oleiros - Praias - Teatro Colón,EP,#E31E23
XG881,83,A Barcala-A Barcala (circular por O Burgo),EP,#008DD2
XG881,84,Tarrío-Celas-Peiro-Orro-Teatro Colón,B22,#009846
XG881,85,Teatro Colón-Orro-Peiro-Celas-Tarrío,B23,#009846
XG881,86,Peiro Canteiro-Ledoño-Teatro Colón,B19,#009846
XG881,87,Teatro Colón-Celas-Peiro Canteiro,B21,#009846
XG881,88,Peiro Canteiro-Celas-Teatro Colón,B21,#009846
XG881,89,Teatro Colón-Ledoño-Peiro Canteiro,B19,#009846
XG881,91,Cambre: Cambre-Anceis-Andeiro,175,#FFC000
XG881,92,Cambre: Cambre-Espíritu Santo (polígono),176,#ED7D31
XG881,93,Cambre: Cambre-Cruce Meixigo-San Lourenzo,177,#CA855E
XG881,94,Culleredo: O Burgo Edificio usos múltiples-Peiro Canteiro,190,#F0C6DB
XG881,95,Cambre: Andeiro-Altamira-Cambre,175,#FFC000
XG881,96,Cambre: Espíritu Santo (polígono)-Cambre,176,#ED7D31
XG881,97,Cambre: San Lourenzo-Cruce Meixigo-Cambre,177,#CA855E
XG881,98,Cambre: Cambre-Mota-Espíritu Santo (polígono)-Cambre,176,#ED7D31
